"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1510","E[1022]",3.33275428475,3.32873,0.256130778466051,0.253628382,2.9207575,3.764781,1.00035636071495,40287.5703599767,27756.7376620683
"1511","E[1023]",3.4195969585,3.4106,0.263082966932366,0.25901022,3.000285,3.868182,1.00022722965243,40219.9299186277,29325.8193814435
"1512","E[1024]",4.02592566425,3.985765,0.590753784772116,0.582202194,3.129138,5.0565195,0.999992692435424,64348.5888920605,30475.0744625381
"1513","E[1025]",3.289919264,3.25834,0.550970627567776,0.545663517,2.4435245,4.2432475,1.00017521802272,60359.7746549187,27278.3420126247
"1514","E[1026]",2.74269457725,2.73021,0.350122516077305,0.346920987,2.1868775,3.337784,0.999955912671371,47408.5357862196,29323.6705573586
"1515","E[1027]",2.67483730425,2.66298,0.346575136636204,0.345556995,2.127738,3.26655,1.00002177468085,48198.3879091737,30943.242025273
"1516","E[1028]",2.685551531,2.672855,0.346760789892861,0.342769707,2.137779,3.272604,0.999966377612139,48859.7664224483,30923.4621900461
"1517","E[1029]",2.61496411525,2.60216,0.343352776505281,0.342235971,2.0740255,3.198361,0.999985561225132,49407.1714899228,30452.912625196
"1518","E[1030]",2.629890921,2.61797,0.344748019487205,0.342606621000001,2.0875985,3.21836,0.999977917108553,48712.7153478637,30456.9854131389
"1519","E[1031]",2.6119124165,2.59876,0.345067603540141,0.343548072,2.0669965,3.1952815,0.999990971891387,49210.4906603293,29479.508924995
"1520","E[1032]",2.92692267,2.905615,0.528961037137492,0.526723302,2.090228,3.829946,1.00001647120858,47933.1555150605,32549.4620379217
"1521","E[1033]",2.940596015,2.92013,0.534067726929421,0.530874582,2.10166,3.8533115,1.00000711282574,46920.2129938461,33105.6331901414
"1522","E[1034]",4.063266943,4.051755,0.313339967939014,0.310938285,3.569659,4.5993415,1.0000442193291,37533.3793638298,26516.5081131699
"1523","E[1035]",3.9151455195,3.90359,0.301027585614778,0.29696478,3.4424975,4.42942,1.00014618881702,38673.6359049826,24546.8006262703
"1524","E[1036]",3.75470837825,3.74786,0.318620726704713,0.314192592,3.2452065,4.289713,1.00007134512163,37254.316468592,26079.4443019297
"1525","E[1037]",3.72965170925,3.723,0.315406356125551,0.310419375,3.2254195,4.2613835,1.00003396638717,36357.8288182288,25614.7824923234
"1526","E[1038]",3.81688748275,3.80632,0.307333823198721,0.304948581,3.330454,4.340111,1.00017499711155,40279.0379371998,26470.4122900952
"1527","E[1039]",3.822199473,3.811945,0.306781786222864,0.303629067,3.336838,4.3445415,1.00004889943565,40398.2067487021,26714.157477983
