"file","spp_name","file_binomial","aou","english_common_name","family","genus","binomial","old_genus","new_binomial","matched_filename","species_code","mig_dist_m"
"Vireo_flavifrons_22705237.shp","Vireo_flavifrons","Vireo flavifrons",6280,"Yellow-throated Vireo","Vireonidae","Vireo","Vireo flavifrons",NA,NA,"Vireo_flavifrons",NA,2890646.41302744
"Vireo_cassinii_22705231.shp","Vireo_cassinii","Vireo cassinii",6291,"Cassin's Vireo","Vireonidae","Vireo","Vireo cassinii",NA,NA,"Vireo_cassinii",NA,1603483.98664499
"Vireo_solitarius_22705234.shp","Vireo_solitarius","Vireo solitarius",6290,"Blue-headed Vireo","Vireonidae","Vireo","Vireo solitarius",NA,NA,"Vireo_solitarius",NA,2759214.65877937
"Vireo_plumbeus_22705228.shp","Vireo_plumbeus","Vireo plumbeus",6292,"Plumbeous Vireo","Vireonidae","Vireo","Vireo plumbeus",NA,NA,"Vireo_plumbeus",NA,2795780.05646172
"Vireo_philadelphicus_22705240.shp","Vireo_philadelphicus","Vireo philadelphicus",6260,"Philadelphia Vireo","Vireonidae","Vireo","Vireo philadelphicus",NA,NA,"Vireo_philadelphicus",NA,4194257.09887747
"Vireo_gilvus_22735122.shp","Vireo_gilvus","Vireo gilvus",6270,"Warbling Vireo","Vireonidae","Vireo","Vireo gilvus",NA,NA,"Vireo_gilvus",NA,2845625.62499558
"Vireo_olivaceus_22705243.shp","Vireo_olivaceus","Vireo olivaceus",6240,"Red-eyed Vireo","Vireonidae","Vireo","Vireo olivaceus",NA,NA,"Vireo_olivaceus",NA,5569035.00226143
"Vireo_altiloquus_22705254.shp","Vireo_altiloquus","Vireo altiloquus",6230,"Black-whiskered Vireo","Vireonidae","Vireo","Vireo altiloquus",NA,NA,"Vireo_altiloquus",NA,2526537.41866955
"Perisoreus_canadensis_22705783.shp","Perisoreus_canadensis","Perisoreus canadensis",4840,"Gray Jay","Corvidae","Perisoreus","Perisoreus canadensis",NA,NA,"Perisoreus_canadensis",NA,0
"Cyanocorax_yncas_22705738.shp","Cyanocorax_yncas","Cyanocorax yncas",4830,"Green Jay","Corvidae","Cyanocorax","Cyanocorax yncas",NA,NA,"Cyanocorax_yncas",NA,0
"Gymnorhinus_cyanocephalus_22705608.shp","Gymnorhinus_cyanocephalus","Gymnorhinus cyanocephalus",4920,"Pinyon Jay","Corvidae","Gymnorhinus","Gymnorhinus cyanocephalus",NA,NA,"Gymnorhinus_cyanocephalus",NA,0
"Cyanocitta_stelleri_22705614.shp","Cyanocitta_stelleri","Cyanocitta stelleri",4780,"Steller's Jay","Corvidae","Cyanocitta","Cyanocitta stelleri",NA,NA,"Cyanocitta_stelleri",NA,0
"Cyanocitta_cristata_22705611.shp","Cyanocitta_cristata","Cyanocitta cristata",4770,"Blue Jay","Corvidae","Cyanocitta","Cyanocitta cristata",NA,NA,"Cyanocitta_cristata",NA,377097.087341802
