"County_Route_Stop","mbbs_county","route_num","stop_num","lat","lon","WKT"
"chatham-13-3","chatham",13,3,35.712742,-79.527683,c(1469814.64139814, 1534276.09650184)
"chatham-13-4","chatham",13,4,35.716027,-79.518248,c(1470584.59942838, 1534784.32808081)
"chatham-13-5","chatham",13,5,35.720391,-79.510899,c(1471149.37268154, 1535379.32581443)
"chatham-13-6","chatham",13,6,35.72386,-79.501118,c(1471946.15593832, 1535913.33078594)
"chatham-13-7","chatham",13,7,35.721897,-79.491209,c(1472859.26543689, 1535850.38680193)
"chatham-13-8","chatham",13,8,35.720503,-79.481442,c(1473748.84546471, 1535848.08480274)
"chatham-13-9","chatham",13,9,35.722715,-79.470945,c(1474633.04737599, 1536254.83712912)
"chatham-13-10","chatham",13,10,35.725414,-79.46294,c(1475287.67097966, 1536676.69477363)
"chatham-13-11","chatham",13,11,35.730273,-79.45828,c(1475604.97336425, 1537284.83683215)
"chatham-13-12","chatham",13,12,35.737272,-79.455461,c(1475718.16501155, 1538100.3748055)
"chatham-13-13","chatham",13,13,35.744238,-79.449902,c(1476073.84971781, 1538954.83233154)
"chatham-13-14","chatham",13,14,35.751029,-79.444366,c(1476430.80449554, 1539789.65302299)
"chatham-13-15","chatham",13,15,35.759489,-79.442942,c(1476392.31839167, 1540744.63553309)
"chatham-13-16","chatham",13,16,35.766154,-79.440593,c(1476470.28191374, 1541516.06153502)
"chatham-13-17","chatham",13,17,35.768435,-79.430661,c(1477302.54792524, 1541921.93009826)
"chatham-13-18","chatham",13,18,35.771026,-79.423848,c(1477853.47153072, 1542313.55540874)
"chatham-13-19","chatham",13,19,35.776769,-79.416071,c(1478428.14187681, 1543067.76392881)
"chatham-13-20","chatham",13,20,35.783286,-79.411567,c(1478698.8587115, 1543856.42399427)
"chatham-14-1","chatham",14,1,35.7437305,-79.0044304,c(1515395.94453674, 1545910.21956723)
"chatham-14-2","chatham",14,2,35.7511476,-79.0078207,c(1514949.18728901, 1546673.35149722)
"chatham-14-3","chatham",14,3,35.7582663,-79.0102389,c(1514594.16139807, 1547419.12482837)
"chatham-14-4","chatham",14,4,35.7650553,-79.0066394,c(1514776.42420859, 1548224.49129711)
"chatham-14-5","chatham",14,5,35.7711038,-79.0027502,c(1514998.92262901, 1548952.89556128)
"chatham-14-6","chatham",14,6,35.7768952,-79.0064446,c(1514557.81833414, 1549532.09310164)
"chatham-14-7","chatham",14,7,35.7849402,-79.0093468,c(1514141.73494445, 1550372.23832177)
"chatham-14-8","chatham",14,8,35.7894141,-79.006155,c(1514334.04011361, 1550916.0287748)
"chatham-14-9","chatham",14,9,35.7894464,-78.9990063,c(1514963.61372708, 1551033.52425995)
"chatham-14-10","chatham",14,10,35.7919107,-78.9897438,c(1515731.04316592, 1551452.72871987)
"chatham-14-11","chatham",14,11,35.7951207,-78.9822449,c(1516328.07427054, 1551926.01991282)
"chatham-14-12","chatham",14,12,35.7946336,-78.9746531,c(1517006.99182264, 1551993.51418896)
"chatham-14-13","chatham",14,13,35.7904302,-78.9668748,c(1517776.52733943, 1551654.61127466)
